Company,Priority,Focus,Platform,Enabled,Career Endpoint,Zero Result Policy
Legend Biotech,Tier 2,cell therapy bioinformatics,greenhouse,True,https://job-boards.greenhouse.io/legendcareers,warn if zero
Orca Bio,Tier 2,cell therapy/computational,lever,True,,warn if zero
Beam Therapeutics,Tier 2,gene editing/computational biology,greenhouse,True,https://job-boards.greenhouse.io/beamtherapeutics,warn if zero
Prime Medicine,Tier 2,gene editing/computational biology,greenhouse,True,https://job-boards.greenhouse.io/primemedicine,warn if zero
Generate Biomedicines,Tier 2,computational biology,greenhouse,True,https://job-boards.greenhouse.io/generatebiomedicines,warn if zero
Chan Zuckerberg Biohub,Tier 1,genomics/computational biology,greenhouse,True,https://job-boards.greenhouse.io/biohub,warn if zero
Genesis Molecular AI,Tier 2,AI/computational biology,ashby,True,,warn if zero
Kingdom,Tier 1,microbial genomics/computational biology,ashby,True,,warn if zero
LatchBio,Tier 2,bioinformatics infrastructure,ashby,True,,warn if zero
Foresite Labs,Tier 2,computational/bioinformatics,greenhouse,True,https://job-boards.greenhouse.io/foresitelabs,warn if zero
Radical Numerics,Tier 2,computational genomics,ashby,True,,warn if zero
BIO Protocol,Tier 2,computational biology,ashby,True,,warn if zero
Ginkgo Bioworks,Tier 2,synthetic biology/microbial engineering,greenhouse,True,https://job-boards.greenhouse.io/ginkgobioworks,warn if zero
Profluent,Tier 2,bioinformatics/NGS,greenhouse,True,https://job-boards.greenhouse.io/profluent,warn if zero
Altos Labs,Tier 2,genomics/computational biology,greenhouse,True,https://job-boards.greenhouse.io/altoslabs,warn if zero
Arc Institute,Tier 2,computational biology/genomics,greenhouse,True,https://job-boards.greenhouse.io/arcinstitute,warn if zero
Stylus Medicine,Tier 2,computational biology/genome engineering,greenhouse,True,https://job-boards.greenhouse.io/stylusmedicine,warn if zero
Edison Scientific,Tier 2,AI/computational biology,ashby,True,,warn if zero
Valthos,Tier 2,computational biology,ashby,True,,warn if zero
Cajal Therapeutics,Tier 2,computational biology,greenhouse,True,https://job-boards.greenhouse.io/cajal-tx,warn if zero
PathAI,Tier 2,AI/pathology/bioinformatics,career_page,True,https://www.pathai.com/careers,warn if zero
Veracyte,Tier 1,diagnostics/bioinformatics/genomics,career_page,True,https://www.veracyte.com/company/careers/,warn if zero
Indigo Ag,Tier 2,microbial agriculture,career_page,True,https://www.indigoag.com/careers,warn if zero
Pivot Bio,Tier 2,microbial engineering/agriculture,career_page,True,https://www.pivotbio.com/open-positions,warn if zero
Schrodinger,Tier 3,computational life science,career_page,True,https://www.schrodinger.com/company/careers/,warn if zero
SOPHiA GENETICS,Tier 2,clinical genomics/data science,career_page,True,https://careers.sophiagenetics.com/jobs/search/job-search-US,warn if zero
GeneDx,Tier 1,clinical genomics,career_page,True,https://www.genedx.com/careers/openings/,warn if zero
Myriad Genetics,Tier 2,molecular diagnostics/genomics,oracle,True,https://ekgn.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/jobs,warn if zero
Caris Life Sciences,Tier 1,precision oncology/genomics,workday,True,https://carislifesciences.wd12.myworkdayjobs.com/CLS,warn if zero
Color Health,Tier 2,population genomics,career_page,True,https://www.color.com/careers,warn if zero
Nautilus Biotechnology,Tier 2,proteomics/platform,career_page,True,https://www.nautilus.bio/careers/,warn if zero
Vizgen,Tier 2,spatial genomics,career_page,True,https://vizgen.com/careers/,warn if zero
Scale Biosciences,Tier 2,single-cell genomics,career_page,True,https://scale.bio/,verified empty
Mission Bio,Tier 2,single-cell genomics,career_page,True,https://www.missionbio.com/company/careers,warn if zero
Standard BioTools,Tier 2,life-science tools,career_page,True,https://www.standardbio.com/careers,warn if zero
Akoya Biosciences,Tier 2,spatial biology,career_page,True,https://www.akoyabio.com/careers/,warn if zero
QIAGEN,Tier 2,genomics/molecular diagnostics,workday,True,https://qiagen.wd502.myworkdayjobs.com/QIAGEN,warn if zero
Thermo Fisher Scientific,Tier 2,sequencing/life-science tools,career_page,True,https://jobs.thermofisher.com/,warn if zero
Agilent Technologies,Tier 2,genomics/life-science tools,workday,True,https://agilent.wd5.myworkdayjobs.com/Agilent_Careers,warn if zero
Moderna,Tier 2,mRNA/computational biology,workday,True,https://modernatx.wd1.myworkdayjobs.com/M_tx,warn if zero
Regeneron,Tier 2,genomics/computational biology,workday,True,https://regeneron.wd1.myworkdayjobs.com/Careers,warn if zero
Vertex Pharmaceuticals,Tier 2,computational genomics,workday,True,https://vrtx.wd501.myworkdayjobs.com/Vertex_Careers,warn if zero
Alnylam Pharmaceuticals,Tier 2,RNA therapeutics/genomics,career_page,True,https://www.alnylam.com/careers,warn if zero
