company,priority,focus,platform,career_endpoint,validation
Valthos,Tier 2,computational biology,ashby,https://jobs.ashbyhq.com/valthos,v2.0 web-validated/configured
Cajal Therapeutics,Tier 2,computational biology,greenhouse,https://job-boards.greenhouse.io/cajal-tx,v2.0 web-validated/configured
PathAI,Tier 2,AI/pathology/bioinformatics,career_page,https://www.pathai.com/careers,v2.0 web-validated/configured
Veracyte,Tier 1,diagnostics/bioinformatics/genomics,career_page,https://www.veracyte.com/company/careers/,v2.0 web-validated/configured
Indigo Ag,Tier 2,microbial agriculture,career_page,https://www.indigoag.com/careers,v2.0 web-validated/configured
Pivot Bio,Tier 2,microbial engineering/agriculture,career_page,https://www.pivotbio.com/open-positions,v2.0 web-validated/configured
Schrodinger,Tier 3,computational life science,career_page,https://www.schrodinger.com/company/careers/,v2.0 web-validated/configured
SOPHiA GENETICS,Tier 2,clinical genomics/data science,career_page,https://careers.sophiagenetics.com/jobs/search/job-search-US,v2.0 web-validated/configured
GeneDx,Tier 1,clinical genomics,career_page,https://www.genedx.com/careers/openings/,v2.0 web-validated/configured
Myriad Genetics,Tier 2,molecular diagnostics/genomics,career_page,https://myriad.com/careers/,v2.0 web-validated/configured
Caris Life Sciences,Tier 1,precision oncology/genomics,career_page,https://www.carislifesciences.com/careers/,v2.0 web-validated/configured
Color Health,Tier 2,population genomics,career_page,https://www.color.com/careers,v2.0 web-validated/configured
Nautilus Biotechnology,Tier 2,proteomics/platform,career_page,https://www.nautilus.bio/careers/,v2.0 web-validated/configured
Vizgen,Tier 2,spatial genomics,career_page,https://vizgen.com/careers/,v2.0 web-validated/configured
Scale Biosciences,Tier 2,single-cell genomics,career_page,https://scale.bio/careers/,v2.0 web-validated/configured
Mission Bio,Tier 2,single-cell genomics,career_page,https://missionbio.com/careers/,v2.0 web-validated/configured
Standard BioTools,Tier 2,life-science tools,career_page,https://www.standardbio.com/careers,v2.0 web-validated/configured
Akoya Biosciences,Tier 2,spatial biology,career_page,https://www.akoyabio.com/careers/,v2.0 web-validated/configured
QIAGEN,Tier 2,genomics/molecular diagnostics,career_page,https://careers.qiagen.com/,v2.0 web-validated/configured
Thermo Fisher Scientific,Tier 2,sequencing/life-science tools,career_page,https://jobs.thermofisher.com/,v2.0 web-validated/configured
Agilent Technologies,Tier 2,genomics/life-science tools,career_page,https://careers.agilent.com/,v2.0 web-validated/configured
Moderna,Tier 2,mRNA/computational biology,workday,https://modernatx.wd1.myworkdayjobs.com/M_tx,v2.0 web-validated/configured
Regeneron,Tier 2,genomics/computational biology,workday,https://regeneron.wd1.myworkdayjobs.com/Careers,v2.0 web-validated/configured
Vertex Pharmaceuticals,Tier 2,computational genomics,workday,https://vrtx.wd501.myworkdayjobs.com/Vertex_Careers,v2.0 web-validated/configured
Alnylam Pharmaceuticals,Tier 2,RNA therapeutics/genomics,career_page,https://www.alnylam.com/careers,v2.0 web-validated/configured
